PHONE_ID;ADDRESS;STATUS;LASTCALL;LOT_NUMB;COMPETITION_NUMB;NAME_SERVICEMAN
1020;675503 Амурская обл Благовещенский р-н с Удобное dc905fd6-8361-488c-93e3-9cd57b096475 ул Школьная 2;в ремонте;2017-11-15 11:20:32;1;289;Тамбовский Район
1021;675502 Амурская обл Благовещенский р-н с Гродеково 73571c0b-e56e-4631-becd-0b44cea71980 ул Центральная 5;в ремонте;2017-11-15 11:22:43;1;289;Тамбовский Район
1022;Амурская обл Благовещенский р-н с Усть- Ивановка 05036a3f-49fc-4adb-af55-dab519497e24 ул Ленина 75;Таксофон отзвонился;2018-05-29 06:20:42;1;289;Ивановский Район
1023;675502 Амурская обл Благовещенский р-н с Каникурган 02397269-9726-422f-af2f-8131b9570a4a ул Центральная 12;в ремонте;2017-11-20 11:03:54;1;289;Тамбовский Район
1024;675511 Амурская область Благовещенский р-н с Марково d5ed3d3d-292e-40b5-9d68-0d7b4eb03cf0 ул  60 лет Октября 32;в ремонте;2017-11-15 11:25:25;1;289;Благовещенский Район
1025;675512 Амурская область Благовещенский мр сп Михайловский Сельсове с Михайловка 17cb2866-0c2d-4798-b402-e7456d0e424b ул Амурская 28;в ремонте;2017-11-15 11:26:19;1;289;Благовещенский Район
1026;675522 Амурская область Благовещенский р-н с Грязнушка 5137f5a7-566d-49b0-a6b2-fad14b6979dc ул Школьная 26;Трубка не уложена при плановом отзвоне;2018-05-25 06:35:52;1;289;Благовещенский Район
1027;675527 Амурская область Благовещенский р-н с Натальино b7ab8ba1-7db3-4b4d-b1e7-10d44da49faf ул Торговая 21;в ремонте;2017-11-15 11:28:11;1;289;Благовещенский Район
1029;Амурская обл Благовещенский р-н п Заречный 526a3544-e88c-413a-84f2-9fe61b7f4210 ул Амурская 11;Таксофон отзвонился;2018-05-29 06:40:43;1;289;Тамбовский Район
1030;675521 Амурская область Благовещенский М Р С П Новотроицкий Сельсове с Новотроицкое 252bfbd8-0fde-4c0c-a24f-c841a8b4f372 ул Гагарина 1;Разряд батарейки;2018-05-29 06:45:44;1;289;Благовещенский Район
1031;675521 Амурская область Благовещенский Муниципальный Район Сельское Поселение Новотроицкий Сельсовет с Контон-Коммуна 4E26B7CD-BD9E-45AB-9D18-207C7F159898 ул Центральная 12;Разряд батарейки;2018-05-29 02:00:43;1;289;Благовещенский Район
1032;676910 Амурская область Благовещенский р-н с Игнатьево a3426bd9-5af0-48d7-9804-7baa8aa29471 ул Переселенческая 4;в ремонте;2017-12-11 10:17:33;1;289;Благовещенский Район
1033;Амурская Область Ивановский М Р с Андреевка 703fd2be-618b-45ba-afcf-b5408d8a6c33  ул Центральная 15;Разряд батарейки;2018-05-29 01:56:07;1;289;Ивановский Район
1034;676930 Амурская Область Ивановский М Р  С П Андреевский Сельсовет с Богословка 41649dbd-1fa7-4d0f-9d04-a08b6254c5a6  ул Центральная 28;Таксофон отзвонился;2018-05-29 02:06:10;1;289;Ивановский Район
1035;Амурская Область Ивановский М Р с Анновка 7f536cc6-ae63-4216-9ed7-e91adaddc355  пер Молодежный 1;Таксофон отзвонился;2018-03-20 10:00:54;1;289;Ивановский Район
1036;Амурская Область Ивановский М Р с Большеозерка ca40a311-10b8-4c4e-b072-4016be245a21  ул Центральная 25;Таксофон отзвонился;2018-03-22 16:15:15;1;289;Ивановский Район
1037;Амурская Область Ивановский М Р с Вишневка 170d0dd7-c406-4b56-a63a-16308ceaa4b2  ул Садовая 3;Таксофон отзвонился;2018-05-29 02:20:23;1;289;Ивановский Район
1038;676925 Амурская Область Ивановский М Р  С П Березовский Сельсовет с Березовка 8a3d7e52-382e-4e9e-a06d-05bcb79f0900 ул Ленина 31;Обрыв МТ;2018-05-29 02:07:34;1;289;Ивановский Район
1039;676930 Амурская Область Ивановский М Р  С П Дмитриевский Сельсовет с Дмитриевка 38051aac-4559-4881-bab9-b793a82ed9cd  ул Набережная 71;Обрыв МТ;2018-05-29 02:12:29;1;289;Ивановский Район
1040;Амурская Область Ивановский М Р с Ерковцы 5262b09f-a944-4322-a4a3-8be0542ea10e  ул Советская 99;Таксофон отзвонился;2018-05-29 02:15:49;1;289;Ивановский Район
1041;Амурская Область Ивановский М Р с Черкасовка 87f765e2-f841-40e3-bd50-3d06efca83c4  ул Центральная 12;Таксофон отзвонился;2018-05-29 02:28:33;1;289;Ивановский Район
1042;676930 Амурская Область Ивановский МР  С П Ивановский Сельсовет с Ивановка 8c99b7f8-c7ca-42d6-aab3-a8a77132e889  ул Ленина 152;Таксофон отзвонился;2018-05-29 02:20:56;1;289;Ивановский Район
1043;Амурская Область Ивановский М Р с Крещеновка ab4f9fe6-1636-47d4-928e-25bc4ed5a567  ул Центральная 19;Таксофон отзвонился;2018-05-29 02:30:03;1;289;Ивановский Район
1044;676930 Амурская Область Ивановский М Р  С П Ивановский Сельсовет с Луговое 3e0dbf79-07ee-4c38-a6e2-0c3c4900480d  ул Садовая 40;Таксофон отзвонился;2018-05-29 02:30:53;1;289;Ивановский Район
1045;Амурская Область Ивановский М Р с Константиноградовка ae095014-fda7-4a63-8486-e86bdd47df84  ул Ветеранов 64;Таксофон отзвонился;2018-05-29 02:26:10;1;289;Ивановский Район
1046;676942 Амурская Область Ивановский М Р  С П Николаевский Сельсовет с Николаевка a5f762ad-eefe-434c-84a0-8f804e057a83  ул Центральная 24;Таксофон отзвонился;2018-03-27 10:34:18;1;289;Ивановский Район
1047;676943 Амурская Область Ивановский М Р  С П Николаевский Сельсовет с Новопокровка 6212df98-00da-4cb8-95cb-14890cdb1a7a  ул Центральная 35;в ремонте;2017-11-13 10:27:51;1;289;Ивановский Район
1048;676944 Амурская Область Ивановский МР  С П Новоалексеевский Сельсовет с Новоалексеевка 6f0ff187-5c73-4db6-ac1f-940a8b35137c  ул Гвардейская 49;Разряд батарейки;2018-05-29 02:41:06;1;289;Ивановский Район
1049;Амурская Область Ивановский М Р с Ракитное b1b43e41-0bf7-4b7e-8cfe-6a95c9888d51 ул Лобонова 2;Таксофон отзвонился;2018-05-14 15:40:12;1;289;Ивановский Район
